classification_id,classification_uuid,taxon_id,taxon_classification_id,path,rank,current_scientific_name,current_scientific_name_exact,scientific_name_synonym,scientific_name_synonym_exact,common_name
1,149f50d1-44e8-4f15-a092-251af314041d,402310,1_402310,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Porinaceae|Porina|Porina tigurina,sp.,Porina tigurina (Stizenb.) Lettau 1912,Porina tigurina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,331479,1_331479,Fungi|Ascomycota|Leotiomycetes|Helotiales|Helotiaceae|Godronia|Godronia uberiformis,sp.,Godronia uberiformis J.W. Groves 1965,Godronia uberiformis,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,294704,1_294704,Fungi|Ascomycota|Sordariomycetes|Sordariales|Chaetomiaceae|Chaetomium|Chaetomium perlucidum,sp.,Chaetomium perlucidum Sergeeva 1956,Chaetomium perlucidum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,132314,1_132314,Fungi|Ascomycota|Dothideomycetes|Incertae sedis|Incertae sedis|Cercidospora|Cercidospora stereocaulorum,sp.,Cercidospora stereocaulorum (Arnold) Hafellner 1987,Cercidospora stereocaulorum,"Metasphaeria stereocaulorum (Arnold) Sacc. 1883,Leptosphaeria stereocaulorum Arnold 1874","Metasphaeria stereocaulorum,Leptosphaeria stereocaulorum",""
1,149f50d1-44e8-4f15-a092-251af314041d,379397,1_379397,,sp.,Biatorina alpina Hazsl.,Biatorina alpina,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,505954,1_505954,Fungi|Ascomycota|Sordariomycetes|Incertae sedis|Incertae sedis|Barbatosphaeria,gen.,Barbatosphaeria Réblová 2008,Barbatosphaeria,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,185249,1_185249,,sp.,Gloeosporium gelonii Bond.-Mont. 1936,Gloeosporium gelonii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,493869,1_493869,Fungi|Ascomycota|Dothideomycetes|Capnodiales|Mycosphaerellaceae|Cercospora|Cercospora imperatoriae indica,var.,Cercospora imperatoriae var. indica M.S. Patil & Thirum. 1968,Cercospora imperatoriae indica,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,235958,1_235958,,sp.,Vermicularia punctoidea P. Karst.,Vermicularia punctoidea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,133196,1_133196,Fungi|Basidiomycota|Agaricomycetes|Agaricales|Bolbitiaceae|Conocybe|Conocybe novae-zelandiae,sp.,Conocybe novae-zelandiae Watling & G.M. Taylor 1987,Conocybe novae-zelandiae,"Pholiotina novae-zelandiae (Watling & G.M. Taylor) Hauskn. 2007","Pholiotina novae-zelandiae",""
